indice,pmos,nmos,nodo,saida,corrente,LETth
187.0,2.8137,1.4812,g1,g1,162.5,81679894.17989418
188.0,0.2624,-0.9621,g1,g1,112.5,56547619.047619045
189.0,0.8269,-0.5882,g1,g1,125.0,62830687.830687836
190.0,-0.09314,-0.4303,g1,g1,103.125,51835317.460317455
191.0,1.3009,1.5016,g1,g1,137.5,69113756.61375661
192.0,0.3378,-1.348,g1,g1,112.5,56547619.047619045
193.0,0.7737,0.3183,g1,g1,125.0,62830687.830687836
194.0,1.365,1.1106,g1,g1,137.5,69113756.61375661
195.0,0.6911,0.6679,g1,g1,125.0,62830687.830687836
196.0,0.1572,-0.8061,g1,g1,109.375,54976851.85185184
197.0,-0.005678,0.4469,g1,g1,106.25,53406084.65608465
198.0,-0.7438,-1.779,g1,g1,84.375,42410714.285714276
199.0,-0.5096,-1.224,g1,g1,90.625,45552248.67724867
200.0,0.5669,-0.937,g1,g1,118.75,59689153.43915344
201.0,0.8826,1.3518,g1,g1,125.0,62830687.830687836
202.0,-0.2079,-0.7176,g1,g1,100.0,50264550.26455026
203.0,-0.2985,-2.1548,g1,g1,96.875,48693783.06878307
204.0,-0.6017,-0.5865,g1,g1,87.5,43981481.48148148
205.0,0.8312,-0.1559,g1,g1,125.0,62830687.830687836
206.0,-0.6661,1.2775,g1,g1,87.5,43981481.48148148
207.0,0.7566,0.08786,g1,g1,125.0,62830687.830687836
208.0,0.4081,1.4146,g1,g1,115.625,58118386.24338624
209.0,1.3523,2.0629,g1,g1,137.5,69113756.61375661
210.0,1.6467,1.0694,g1,g1,143.75,72255291.00529101
211.0,1.5059,-0.7418,g1,g1,140.625,70684523.8095238
212.0,1.6697,0.3894,g1,g1,143.75,72255291.00529101
213.0,-0.5978,0.1549,g1,g1,87.5,43981481.48148148
214.0,-0.6288,0.5625,g1,g1,87.5,43981481.48148148
215.0,0.7413,1.2171,g1,g1,125.0,62830687.830687836
216.0,0.6256,-0.8045,g1,g1,118.75,59689153.43915344
217.0,-0.8767,-1.6896,g1,g1,81.25,40839947.08994709
218.0,-0.714,-1.5392,g1,g1,87.5,43981481.48148148
219.0,0.3266,0.5544,g1,g1,112.5,56547619.047619045
220.0,1.0344,-0.5603,g1,g1,131.25,65972222.222222224
221.0,-0.4694,-1.5931,g1,g1,93.75,47123015.87301587
222.0,-0.8456,-1.0142,g1,g1,81.25,40839947.08994709
223.0,0.3573,0.1473,g1,g1,112.5,56547619.047619045
224.0,-1.2136,0.0131,g1,g1,71.875,36127645.50264551
225.0,1.9081,-0.02069,g1,g1,150.0,75396825.3968254
226.0,-1.4405,-2.2428,g1,g1,65.625,32986111.111111112
227.0,0.01561,1.1512,g1,g1,106.25,53406084.65608465
228.0,-0.2154,-0.1239,g1,g1,100.0,50264550.26455026
229.0,-0.6061,0.4292,g1,g1,87.5,43981481.48148148
230.0,1.042,0.4519,g1,g1,131.25,65972222.222222224
231.0,-0.565,-0.1211,g1,g1,90.625,45552248.67724867
232.0,-0.1688,-2.699,g1,g1,100.0,50264550.26455026
233.0,0.7737,-0.09677,g1,g1,125.0,62830687.830687836
234.0,0.629,-0.3447,g1,g1,121.875,61259920.63492063
235.0,-1.3028,1.3914,g1,g1,68.75,34556878.306878306
236.0,-0.04494,1.6305,g1,g1,106.25,53406084.65608465
237.0,0.1913,0.1378,g1,g1,109.375,54976851.85185184
238.0,-2.7776,0.04768,g1,g1,32.8125,16493055.555555556
239.0,-0.2699,1.4894,g1,g1,100.0,50264550.26455026
240.0,1.0553,0.4337,g1,g1,131.25,65972222.222222224
241.0,0.7687,-0.4709,g1,g1,125.0,62830687.830687836
242.0,1.2295,-0.8217,g1,g1,137.5,69113756.61375661
243.0,-0.5205,-1.2026,g1,g1,90.625,45552248.67724867
244.0,-0.5831,1.0875,g1,g1,87.5,43981481.48148148
245.0,0.5037,-0.5675,g1,g1,118.75,59689153.43915344
246.0,0.4701,-0.5342,g1,g1,118.75,59689153.43915344
247.0,0.4442,-0.5155,g1,g1,118.75,59689153.43915344
248.0,-0.4187,0.373,g1,g1,93.75,47123015.87301587
249.0,0.6286,1.0182,g1,g1,118.75,59689153.43915344
250.0,-1.1688,-1.0612,g1,g1,71.875,36127645.50264551
251.0,-0.2921,-0.4909,g1,g1,96.875,48693783.06878307
252.0,-0.1297,-0.1949,g1,g1,100.0,50264550.26455026
253.0,-0.123,-1.5025,g1,g1,103.125,51835317.460317455
254.0,0.3857,0.1715,g1,g1,112.5,56547619.047619045
255.0,0.9052,0.6889,g1,g1,125.0,62830687.830687836
256.0,-0.001926,0.3841,g1,g1,106.25,53406084.65608465
257.0,-0.5491,-1.7569,g1,g1,90.625,45552248.67724867
258.0,1.8338,-1.3988,g1,g1,150.0,75396825.3968254
259.0,-0.7228,-0.4759,g1,g1,84.375,42410714.285714276
260.0,0.06718,0.08008,g1,g1,106.25,53406084.65608465
261.0,0.01212,-1.2185,g1,g1,106.25,53406084.65608465
262.0,-1.7622,0.3275,g1,g1,56.25,28273809.523809522
263.0,0.765,1.8685,g1,g1,125.0,62830687.830687836
264.0,1.0345,1.7341,g1,g1,131.25,65972222.222222224
265.0,-0.9253,0.464,g1,g1,81.25,40839947.08994709
266.0,0.6285,-0.5026,g1,g1,121.875,61259920.63492063
